선수명,ID,season_2010,season_2011,season_2012,season_2013,season_2014,season_2015,season_2016,season_2017,season_2018,season_2019,season_2020
가뇽,50640,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아
가득염,92501,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
가르시아,78595,롯데,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
가르시아,68103,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,소속팀없음,소속팀없음
가코,61435,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강경학,61700,소속팀없음,한화,소속팀없음,소속팀없음,한화,한화,한화,한화,한화,한화,한화
강구성,62917,소속팀없음,소속팀없음,소속팀없음,NC,소속팀없음,NC,NC,NC,NC,소속팀없음,소속팀없음
강귀태,72312,키움,키움,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강태율,65514,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,롯데,소속팀없음,소속팀없음,롯데
강동연,61295,소속팀없음,소속팀없음,소속팀없음,두산,두산,소속팀없음,두산,소속팀없음,두산,두산,NC
강동우,98420,한화,한화,한화,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강동호,67591,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,소속팀없음,소속팀없음,롯데
강로한,65515,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,소속팀없음,소속팀없음,소속팀없음,롯데,롯데
강명구,73409,삼성,삼성,삼성,삼성,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강민국,64906,소속팀없음,소속팀없음,소속팀없음,소속팀없음,NC,NC,NC,소속팀없음,NC,KT,KT
강민호,74540,롯데,롯데,롯데,롯데,롯데,롯데,롯데,롯데,삼성,삼성,삼성
강백호,68050,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,KT
강병식,72325,키움,키움,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강병우,75143,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강병의,61108,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강봉규,70224,삼성,삼성,삼성,삼성,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강상원,66710,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,한화,소속팀없음,소속팀없음
강승현,78552,소속팀없음,소속팀없음,소속팀없음,롯데,롯데,소속팀없음,롯데,한화,한화,소속팀없음,소속팀없음
강승호,63123,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,LG,LG-SK,SK,소속팀없음
강영식,70615,롯데,롯데,롯데,롯데,롯데,롯데,롯데,롯데,소속팀없음,소속팀없음,소속팀없음
강윤구,79358,키움,키움,키움,키움,키움,소속팀없음,키움,NC,NC,NC,NC
강이준,67604,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,소속팀없음
강장산,64907,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,NC,NC,NC-KT,소속팀없음,소속팀없음,소속팀없음
강재민,50705,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화
강정현,69158,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,소속팀없음
강정호,76325,키움,키움,키움,키움,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강종필,89478,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강지광,79130,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,키움,키움,키움,SK,SK,소속팀없음
강진성,62925,소속팀없음,소속팀없음,소속팀없음,NC,소속팀없음,소속팀없음,소속팀없음,NC,NC,NC,NC
강철민,72627,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강필선,99333,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
강한울,64610,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,기아,기아,삼성,삼성,소속팀없음,소속팀없음
강현우,50066,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT
경헌호,70121,LG,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
고도현,63563,소속팀없음,소속팀없음,소속팀없음,롯데,롯데,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
고동진,74745,소속팀없음,한화,한화,한화,한화,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
고든,61855,소속팀없음,SK,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
고메즈,66805,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음
고명성,68069,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,소속팀없음
고봉재,66201,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,두산,소속팀없음,소속팀없음,소속팀없음
고승민,69517,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,소속팀없음
고영민,72214,두산,두산,두산,두산,두산,두산,두산,소속팀없음,소속팀없음,소속팀없음,소속팀없음
고영창,63628,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,기아,기아
고영표,64001,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,KT,KT,소속팀없음,소속팀없음
고우석,73629,소속팀없음,기아,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
고우석,67119,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,LG,LG,LG
고원준,79349,키움,롯데,롯데,롯데,소속팀없음,소속팀없음,롯데-두산,두산,소속팀없음,소속팀없음,소속팀없음
고장혁,63636,소속팀없음,소속팀없음,소속팀없음,기아,기아,기아,기아,기아,소속팀없음,기아,기아
고종욱,61353,소속팀없음,키움,소속팀없음,소속팀없음,키움,키움,키움,키움,키움,SK,SK
고창성,78248,두산,두산,두산,NC,NC,NC,소속팀없음,소속팀없음,KT,소속팀없음,소속팀없음
고효준,72523,SK,SK,소속팀없음,소속팀없음,SK,SK,SK-기아,기아,롯데,롯데,롯데
곤잘레스,60154,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
공민규,68407,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,소속팀없음
공필성,90581,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
곽동훈,75424,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
곽빈,68220,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,소속팀없음,소속팀없음
곽정철,75668,기아,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음
구대성,93715,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
구본범,79748,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
구본혁,69100,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,LG
구승민,63543,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,롯데,소속팀없음,소속팀없음,롯데,롯데,롯데
구자욱,62404,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,삼성,삼성,삼성,삼성,삼성
구자운,99245,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
구자형,64354,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
구창모,65933,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,NC,NC,NC,NC,NC
구톰슨,79650,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
국해성,79290,소속팀없음,소속팀없음,두산,소속팀없음,소속팀없음,두산,두산,두산,두산,두산,두산
권도영,73363,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
권민석,68204,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산
권영준,79565,소속팀없음,소속팀없음,롯데,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
권영진,78863,소속팀없음,소속팀없음,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
권오준,99445,삼성,삼성,삼성,소속팀없음,삼성,삼성,삼성,삼성,삼성,삼성,삼성
권용관,95158,LG-SK,SK,SK,LG,LG,한화,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음
권정웅,65412,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,삼성,삼성,소속팀없음,소속팀없음
권혁,72447,삼성,삼성,삼성,삼성,삼성,한화,한화,한화,한화,두산,두산
권휘,50203,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산
권희동,63963,소속팀없음,소속팀없음,소속팀없음,NC,NC,소속팀없음,NC,NC,NC,NC,NC
글로버,79858,SK,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
금민철,75258,키움,키움,소속팀없음,소속팀없음,키움,키움,키움,키움,KT,KT,KT
김강,77733,한화,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김강래,63797,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김강률,77263,소속팀없음,두산,두산,두산,두산,두산,두산,두산,두산,소속팀없음,두산
김강민,71837,SK,SK,SK,SK,SK,SK,SK,SK,SK,SK,SK
김강석,79704,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김강익,86992,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김건국,76225,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,롯데,롯데
김건태,60339,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,NC,NC,NC
김건필,78440,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김건한,71851,기아,기아,기아-삼성,삼성,삼성,삼성,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김경모,78409,소속팀없음,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김경언,71610,한화,한화,한화,한화,한화,한화,한화,한화,소속팀없음,소속팀없음,소속팀없음
김경태,60757,소속팀없음,한화,한화,한화,소속팀없음,소속팀없음,한화,한화,한화,한화,소속팀없음
김경호,64260,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,SK
김광삼,99152,LG,LG,LG,소속팀없음,소속팀없음,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김광수,70142,LG,LG-한화,한화,한화,한화,기아,기아,기아,소속팀없음,소속팀없음,소속팀없음
김광연,63601,소속팀없음,소속팀없음,소속팀없음,기아,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김광현,77829,SK,SK,SK,SK,SK,SK,SK,소속팀없음,SK,SK,소속팀없음
김규민,62356,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,키움,키움,키움
김규성,66614,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아
김기연,66112,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,소속팀없음,소속팀없음
김기태,76461,소속팀없음,소속팀없음,삼성,삼성,삼성,삼성,삼성,소속팀없음,삼성,소속팀없음,소속팀없음
김기표,76119,LG,LG,LG,LG,LG,KT,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김기현,62919,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김기현,77869,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김기환,65462,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,NC
김기훈,69620,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,기아
김남형,77314,소속팀없음,소속팀없음,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김다원,78765,한화-기아,기아,소속팀없음,소속팀없음,기아,기아,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김대륙,65513,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,롯데,롯데,소속팀없음,소속팀없음,소속팀없음
김대우,61365,소속팀없음,키움,소속팀없음,소속팀없음,키움,키움,삼성,삼성,삼성,삼성,롯데
김대우,78536,롯데,소속팀없음,롯데,롯데,롯데,롯데,롯데,롯데,롯데,소속팀없음,삼성
김대유,60337,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,소속팀없음,소속팀없음,SK,소속팀없음,KT,LG
김대한,69238,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,소속팀없음
김대현,66145,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,LG,LG,LG,LG
김도영,66098,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,소속팀없음,소속팀없음,소속팀없음
김도현,61360,소속팀없음,키움,SK,SK,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김도환,50116,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성
김도환,69442,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,LG
김동건,71806,소속팀없음,소속팀없음,소속팀없음,NC,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김동길,60296,두산,두산,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김동엽,66838,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,SK,SK,삼성,삼성
김동영,75739,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김동욱,77462,소속팀없음,소속팀없음,삼성,삼성,소속팀없음,KT,KT,KT,KT,소속팀없음,소속팀없음
김동욱,50393,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김동은,50395,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김동은,60496,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김동주,98218,두산,두산,두산,두산,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김태훈,62360,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,키움,소속팀없음,소속팀없음,키움,키움,키움
김동한,61204,소속팀없음,소속팀없음,두산,두산,소속팀없음,소속팀없음,두산-롯데,롯데,롯데,롯데,롯데
김동혁,50360,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움
김동호,79791,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,삼성,소속팀없음,소속팀없음,소속팀없음
김만수,65044,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,소속팀없음,소속팀없음,소속팀없음
김명성,61527,소속팀없음,롯데,소속팀없음,두산,두산,두산,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김명신,67246,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,소속팀없음,소속팀없음,두산
김명찬,65696,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,기아,기아,소속팀없음,소속팀없음,기아
김문호,76509,소속팀없음,롯데,롯데,롯데,롯데,롯데,롯데,롯데,롯데,롯데,한화
김민,68043,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,KT
김민겸,60055,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김민국,94821,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김민규,68200,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,두산,두산
김민기,50573,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김민범,93367,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김민성,77564,롯데-키움,키움,키움,키움,키움,키움,키움,키움,키움,LG,LG
김민수,65048,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,소속팀없음,KT,KT,KT
김민수,67504,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,소속팀없음,롯데,롯데
김민수,64793,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,소속팀없음,소속팀없음,삼성,삼성,삼성,삼성
김민식,62864,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,SK,SK-기아,기아,기아,기아
김민우,65764,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,한화,한화,한화,한화,한화
김민우,72303,키움,키움,키움,키움,기아,기아,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김민준,63339,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,키움,키움,소속팀없음,소속팀없음,소속팀없음
김민하,61554,소속팀없음,롯데,소속팀없음,소속팀없음,롯데,롯데,롯데,소속팀없음,한화,한화,한화
김민혁,64004,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,소속팀없음,소속팀없음,KT,KT
김민혁,65269,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,두산,소속팀없음,소속팀없음
김범수,65769,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,한화,한화,한화,한화,한화
김병현,67768,소속팀없음,소속팀없음,키움,키움,기아,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김병휘,50304,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움
김병희,64014,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT
김사율,99563,롯데,롯데,롯데,롯데,롯데,KT,KT,KT,KT,소속팀없음,소속팀없음
김사훈,61591,소속팀없음,소속팀없음,롯데,롯데,롯데,소속팀없음,롯데,롯데,롯데,롯데,소속팀없음
김상수,79402,삼성,삼성,삼성,삼성,삼성,삼성,삼성,삼성,삼성,삼성,삼성
김상수,76430,키움,키움,키움,키움,소속팀없음,키움,키움,키움,키움,키움,키움
김상현,70646,기아,기아,기아,기아-SK,SK,KT,KT,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김상호,62559,소속팀없음,소속팀없음,롯데,롯데,소속팀없음,소속팀없음,롯데,롯데,소속팀없음,소속팀없음,소속팀없음
김상훈,70612,기아,기아,기아,기아,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김석환,67610,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,소속팀없음,소속팀없음
김선규,75852,SK-LG,LG,LG,LG,LG,LG,NC,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김선기,66018,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,키움,키움
김선빈,78603,기아,기아,기아,기아,기아,소속팀없음,기아,기아,기아,기아,기아
김선우,78232,두산,두산,두산,두산,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김성계,74651,소속팀없음,소속팀없음,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
김성민,69860,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,소속팀없음,SK,키움
김성민,50848,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK
김성민,50294,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산
김성민,67828,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,키움,키움,SK
김성배,73226,두산,두산,롯데,롯데,롯데,롯데,롯데-두산,두산,소속팀없음,소속팀없음,소속팀없음
김성욱,62934,소속팀없음,소속팀없음,소속팀없음,NC,NC,NC,NC,NC,NC,NC,NC
김성윤,67449,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,삼성,소속팀없음,소속팀없음
