before_name,rename,last_team
이승화,이우민,2017_롯데
강동관,강태율,2017_롯데
백창수,백진우,2019_한화
박광열,박대온,2018_NC
안상빈,안현준,2016_KT
윤대영,윤형준,2018_LG
조덕길,조성운,2019_키움
유원석,류원석,2020_LG
변진수,변시원,2020_기아
김동준,김태훈,2020_키움
나종덕,나균안,2019_롯데
오재영,오주원,2019_키움
박동욱,박건우,2019_두산
이학준,이시찬,2015_한화
장민제,장민재,2019_한화
김남석,김재율,2019_LG
오승택,오태곤,2019_KT
윤완주,윤해진,2019_기아
윤여운,윤수강,2019_NC
김영민,김세현,2019_기아
김영관,김지성,2018_기아
김동명,김동욱,2018_KT
김경근,김정후,2019_LG
고영우,고장혁,2017_기아
백민기,백동훈,2019_두산
김사연,김지열,2018_KT
강동수,강로한,2019_롯데
배병옥,배정대,2019_KT
민성기,민태호,2019_NC
김선민,김동은,2016_KT
블랙,댄블랙,2015_KT
이병휘,이유찬,2019_두산
전태현,전우엽,2010_기아
장효훈,장시환,2019_롯데
에릭,해커,2018_키움
김상현,김태영,2015_기아
백인식,백청훈,2019_SK